+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for japan collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-16 |          1.0           |            0            |        0        |        0         |
| 2020-01-17 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-18 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-19 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-20 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-21 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-22 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-23 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-24 |          3.0           |            0            |       2.0       |        0         |
| 2020-01-25 |          3.0           |            0            |       0.0       |        0         |
| 2020-01-26 |          4.0           |            0            |       1.0       |        0         |
| 2020-01-27 |          6.0           |            0            |       2.0       |        0         |
| 2020-01-28 |          7.0           |            0            |       1.0       |        0         |
| 2020-01-29 |          11.0          |            0            |       4.0       |        0         |
| 2020-01-30 |          14.0          |            0            |       3.0       |        0         |
| 2020-01-31 |          17.0          |            0            |       3.0       |        0         |
| 2020-02-01 |          20.0          |            0            |       3.0       |        0         |
| 2020-02-02 |          20.0          |            0            |       0.0       |        0         |
| 2020-02-03 |          20.0          |            0            |       0.0       |        0         |
| 2020-02-04 |          23.0          |            0            |       3.0       |        0         |
| 2020-02-05 |          25.0          |            0            |       2.0       |        0         |
| 2020-02-06 |          25.0          |            0            |       0.0       |        0         |
| 2020-02-07 |          25.0          |            0            |       0.0       |        0         |
| 2020-02-08 |          26.0          |            0            |       1.0       |        0         |
| 2020-02-09 |          26.0          |            0            |       0.0       |        0         |
| 2020-02-10 |          26.0          |            0            |       0.0       |        0         |
| 2020-02-11 |          26.0          |            0            |       0.0       |        0         |
| 2020-02-12 |          28.0          |            0            |       2.0       |        0         |
| 2020-02-13 |          33.0          |           1.0           |       5.0       |        0         |
| 2020-02-14 |          41.0          |           1.0           |       8.0       |       0.0        |
| 2020-02-15 |          53.0          |           1.0           |       12.0      |       0.0        |
| 2020-02-16 |          59.0          |           1.0           |       6.0       |       0.0        |
| 2020-02-17 |          65.0          |           1.0           |       6.0       |       0.0        |
| 2020-02-18 |          73.0          |           1.0           |       8.0       |       0.0        |
