+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for brazil collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-26 |          1.0           |            0            |        0        |        0         |
| 2020-02-27 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-28 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-29 |          2.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-02 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-04 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-05 |          8.0           |            0            |       5.0       |        0         |
| 2020-03-06 |          13.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          19.0          |            0            |       6.0       |        0         |
| 2020-03-08 |          25.0          |            0            |       6.0       |        0         |
| 2020-03-09 |          25.0          |            0            |       0.0       |        0         |
| 2020-03-10 |          35.0          |            0            |       10.0      |        0         |
| 2020-03-11 |          69.0          |            0            |       34.0      |        0         |
| 2020-03-12 |          77.0          |            0            |       8.0       |        0         |
| 2020-03-13 |          98.0          |            0            |       21.0      |        0         |
| 2020-03-14 |         121.0          |            0            |       23.0      |        0         |
| 2020-03-15 |         200.0          |            0            |       79.0      |        0         |
| 2020-03-16 |         234.0          |            0            |       34.0      |        0         |
| 2020-03-17 |         291.0          |           1.0           |       57.0      |        0         |
| 2020-03-18 |         428.0          |           4.0           |      137.0      |       3.0        |
| 2020-03-19 |         621.0          |           7.0           |      193.0      |       3.0        |
| 2020-03-20 |         904.0          |           11.0          |      283.0      |       4.0        |
| 2020-03-21 |         1128.0         |           18.0          |      224.0      |       7.0        |
| 2020-03-22 |         1546.0         |           25.0          |      418.0      |       7.0        |
| 2020-03-23 |         1891.0         |           34.0          |      345.0      |       9.0        |
| 2020-03-24 |         2201.0         |           46.0          |      310.0      |       12.0       |
| 2020-03-25 |         2433.0         |           57.0          |      232.0      |       11.0       |
| 2020-03-26 |         2915.0         |           77.0          |      482.0      |       20.0       |
| 2020-03-27 |         3417.0         |           92.0          |      502.0      |       15.0       |
| 2020-03-28 |         3904.0         |          114.0          |      487.0      |       22.0       |
| 2020-03-29 |         4256.0         |          136.0          |      352.0      |       22.0       |
| 2020-03-30 |         4579.0         |          159.0          |      323.0      |       23.0       |
| 2020-03-31 |         5717.0         |          201.0          |      1138.0     |       42.0       |
| 2020-04-01 |         6836.0         |          240.0          |      1119.0     |       39.0       |
| 2020-04-02 |         7910.0         |          299.0          |      1074.0     |       59.0       |
| 2020-04-03 |         9056.0         |          359.0          |      1146.0     |       60.0       |
| 2020-04-04 |        10278.0         |          431.0          |      1222.0     |       72.0       |
| 2020-04-05 |        11130.0         |          486.0          |      852.0      |       55.0       |
| 2020-04-06 |        12056.0         |          553.0          |      926.0      |       67.0       |
| 2020-04-07 |        13717.0         |          667.0          |      1661.0     |      114.0       |
| 2020-04-08 |        15927.0         |          800.0          |      2210.0     |      133.0       |
| 2020-04-09 |        17857.0         |          941.0          |      1930.0     |      141.0       |
| 2020-04-10 |        19638.0         |          1056.0         |      1781.0     |      115.0       |
| 2020-04-11 |        20727.0         |          1124.0         |      1089.0     |       68.0       |
| 2020-04-12 |        22169.0         |          1223.0         |      1442.0     |       99.0       |
| 2020-04-13 |        23430.0         |          1328.0         |      1261.0     |      105.0       |
| 2020-04-14 |        25262.0         |          1532.0         |      1832.0     |      204.0       |
| 2020-04-15 |        28320.0         |          1736.0         |      3058.0     |      204.0       |
| 2020-04-16 |        30425.0         |          1924.0         |      2105.0     |      188.0       |
| 2020-04-17 |        34221.0         |          2171.0         |      3796.0     |      247.0       |
| 2020-04-18 |        36599.0         |          2347.0         |      2378.0     |      176.0       |
| 2020-04-19 |        38654.0         |          2462.0         |      2055.0     |      115.0       |
| 2020-04-20 |        40581.0         |          2575.0         |      1927.0     |      113.0       |
| 2020-04-21 |        43079.0         |          2629.0         |      2498.0     |       54.0       |
| 2020-04-22 |        45757.0         |          2906.0         |      2678.0     |      277.0       |
| 2020-04-23 |        49492.0         |          3313.0         |      3735.0     |      407.0       |
| 2020-04-24 |        52995.0         |          3670.0         |      3503.0     |      357.0       |
| 2020-04-25 |        58509.0         |          4016.0         |      5514.0     |      346.0       |
| 2020-04-26 |        61888.0         |          4205.0         |      3379.0     |      189.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
