+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for singapore collected on :2020-05-13                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-22 |          0.0           |            0            |        0        |        0         |
| 2020-01-23 |          1.0           |            0            |       1.0       |        0         |
| 2020-01-24 |          3.0           |            0            |       2.0       |        0         |
| 2020-01-25 |          3.0           |            0            |       0.0       |        0         |
| 2020-01-26 |          4.0           |            0            |       1.0       |        0         |
| 2020-01-27 |          5.0           |            0            |       1.0       |        0         |
| 2020-01-28 |          7.0           |            0            |       2.0       |        0         |
| 2020-01-29 |          7.0           |            0            |       0.0       |        0         |
| 2020-01-30 |          10.0          |            0            |       3.0       |        0         |
| 2020-01-31 |          13.0          |            0            |       3.0       |        0         |
| 2020-02-1  |          16.0          |            0            |       3.0       |        0         |
| 2020-02-2  |          18.0          |            0            |       2.0       |        0         |
| 2020-02-3  |          18.0          |            0            |       0.0       |        0         |
| 2020-02-4  |          24.0          |            0            |       6.0       |        0         |
| 2020-02-5  |          28.0          |            0            |       4.0       |        0         |
| 2020-02-6  |          28.0          |            0            |       0.0       |        0         |
| 2020-02-7  |          30.0          |            0            |       2.0       |        0         |
| 2020-02-8  |          33.0          |            0            |       3.0       |        0         |
| 2020-02-9  |          40.0          |            0            |       7.0       |        0         |
| 2020-02-10 |          45.0          |            0            |       5.0       |        0         |
| 2020-02-11 |          47.0          |            0            |       2.0       |        0         |
| 2020-02-12 |          50.0          |            0            |       3.0       |        0         |
| 2020-02-13 |          58.0          |            0            |       8.0       |        0         |
| 2020-02-14 |          67.0          |            0            |       9.0       |        0         |
| 2020-02-15 |          72.0          |            0            |       5.0       |        0         |
| 2020-02-16 |          75.0          |            0            |       3.0       |        0         |
| 2020-02-17 |          77.0          |            0            |       2.0       |        0         |
| 2020-02-18 |          81.0          |            0            |       4.0       |        0         |
| 2020-02-19 |          84.0          |            0            |       3.0       |        0         |
| 2020-02-20 |          84.0          |            0            |       0.0       |        0         |
| 2020-02-21 |          85.0          |            0            |       1.0       |        0         |
| 2020-02-22 |          85.0          |            0            |       0.0       |        0         |
| 2020-02-23 |          89.0          |            0            |       4.0       |        0         |
| 2020-02-24 |          89.0          |            0            |       0.0       |        0         |
| 2020-02-25 |          91.0          |            0            |       2.0       |        0         |
| 2020-02-26 |          93.0          |            0            |       2.0       |        0         |
| 2020-02-27 |          93.0          |            0            |       0.0       |        0         |
| 2020-02-28 |          93.0          |            0            |       0.0       |        0         |
| 2020-02-29 |         102.0          |            0            |       9.0       |        0         |
| 2020-03-1  |         106.0          |            0            |       4.0       |        0         |
| 2020-03-2  |         108.0          |            0            |       2.0       |        0         |
| 2020-03-3  |         110.0          |            0            |       2.0       |        0         |
| 2020-03-4  |         110.0          |            0            |       0.0       |        0         |
| 2020-03-5  |         117.0          |            0            |       7.0       |        0         |
| 2020-03-6  |         130.0          |            0            |       13.0      |        0         |
| 2020-03-7  |         138.0          |            0            |       8.0       |        0         |
| 2020-03-8  |         150.0          |            0            |       12.0      |        0         |
| 2020-03-9  |         150.0          |            0            |       0.0       |        0         |
| 2020-03-10 |         160.0          |            0            |       10.0      |        0         |
| 2020-03-11 |         178.0          |            0            |       18.0      |        0         |
| 2020-03-12 |         187.0          |            0            |       9.0       |        0         |
| 2020-03-13 |         200.0          |            0            |       13.0      |        0         |
| 2020-03-14 |         212.0          |            0            |       12.0      |        0         |
